Gene 1 ID	Gene 1 name	Gene 2 name	Gene 2 ID
ENSG00000100167	SEPT3	SEPT12	ENSG00000140623
ENSG00000175899	A2M	PZP	ENSG00000126838
ENSG00000114771	AADAC	AADACL2	ENSG00000197953
ENSG00000188984	AADACL3	AADACL4	ENSG00000204518
ENSG00000103222	ABCC1	ABCC3	ENSG00000108846
ENSG00000006071	ABCC8	ABCC9	ENSG00000069431
ENSG00000101986	ABCD1	ABCD2	ENSG00000173208
ENSG00000160179	ABCG1	ABCG4	ENSG00000172350
ENSG00000100439	ABHD4	ABHD5	ENSG00000011198
ENSG00000136754	ABI1	ABI2	ENSG00000138443
ENSG00000097007	ABL1	ABL2	ENSG00000143322
ENSG00000166016	ABTB2	BTBD11	ENSG00000151136
ENSG00000278540	ACACA	ACACB	ENSG00000076555
ENSG00000122729	ACO1	IREB2	ENSG00000136381
ENSG00000123983	ACSL3	ACSL4	ENSG00000068366
ENSG00000107796	ACTA2	ACTG2	ENSG00000163017
ENSG00000136518	ACTL6A	ACTL6B	ENSG00000077080
ENSG00000187003	ACTL7A	ACTL7B	ENSG00000148156
ENSG00000123165	ACTRT1	ACTRT2	ENSG00000169717
ENSG00000115170	ACVR1	ACVRL1	ENSG00000139567
ENSG00000121989	ACVR2A	ACVR2B	ENSG00000114739
ENSG00000142303	ADAMTS10	ADAMTS6	ENSG00000049192
ENSG00000145536	ADAMTS16	ADAMTS18	ENSG00000140873
ENSG00000105963	ADAP1	ADAP2	ENSG00000184060
ENSG00000197381	ADARB1	ADARB2	ENSG00000185736
ENSG00000173175	ADCY5	ADCY6	ENSG00000174233
ENSG00000159346	ADIPOR1	ADIPOR2	ENSG00000006831
ENSG00000035687	ADSS	ADSSL1	ENSG00000185100
ENSG00000160216	AGPAT3	AGPAT4	ENSG00000026652
ENSG00000106541	AGR2	AGR3	ENSG00000173467
ENSG00000204472	AIF1	AIF1L	ENSG00000126878
ENSG00000147853	AK3	AK4	ENSG00000162433
ENSG00000174574	AKIRIN1	AKIRIN2	ENSG00000135334
ENSG00000053371	AKR7A2	AKR7A3	ENSG00000162482
ENSG00000023330	ALAS1	ALAS2	ENSG00000158578
ENSG00000144908	ALDH1L1	ALDH1L2	ENSG00000136010
ENSG00000139133	ALG10	ALG10B	ENSG00000175548
ENSG00000189366	ALG1L	ALG1L2	ENSG00000251287
ENSG00000108839	ALOX12	ALOX15	ENSG00000161905
ENSG00000125363	AMELX	AMELY	ENSG00000099721
ENSG00000101935	AMMECR1	AMMECR1L	ENSG00000144233
ENSG00000116748	AMPD1	AMPD3	ENSG00000133805
ENSG00000154188	ANGPT1	ANGPT2	ENSG00000091879
ENSG00000116194	ANGPTL1	ANGPTL2	ENSG00000136859
ENSG00000180071	ANKRD18A	ANKRD18B	ENSG00000230453
ENSG00000131620	ANO1	ANO2	ENSG00000047617
ENSG00000134343	ANO3	ANO4	ENSG00000151572
ENSG00000135046	ANXA1	ANXA2	ENSG00000182718
ENSG00000131480	AOC2	AOC3	ENSG00000131471
ENSG00000100280	AP1B1	AP2B1	ENSG00000006125
ENSG00000166747	AP1G1	AP1G2	ENSG00000213983
ENSG00000072958	AP1M1	AP1M2	ENSG00000129354
ENSG00000196961	AP2A1	AP2A2	ENSG00000183020
ENSG00000132842	AP3B1	AP3B2	ENSG00000103723
ENSG00000185009	AP3M1	AP3M2	ENSG00000070718
ENSG00000177879	AP3S1	AP3S2	ENSG00000157823
ENSG00000132703	APCS	CRP	ENSG00000132693
ENSG00000117362	APH1A	APH1B	ENSG00000138613
ENSG00000184945	AQP12A	AQP12B	ENSG00000185176
ENSG00000078061	ARAF	RAF1	ENSG00000132155
ENSG00000149182	ARFGAP2	ARFGAP3	ENSG00000242247
ENSG00000066777	ARFGEF1	ARFGEF2	ENSG00000124198
ENSG00000164144	ARFIP1	ARFIP2	ENSG00000132254
ENSG00000118520	ARG1	ARG2	ENSG00000081181
ENSG00000071205	ARHGAP10	ARHGAP26	ENSG00000145819
ENSG00000160007	ARHGAP35	ARHGAP5	ENSG00000100852
ENSG00000163947	ARHGEF3	NET1	ENSG00000173848
ENSG00000129675	ARHGEF6	ARHGEF7	ENSG00000102606
ENSG00000117713	ARID1A	ARID1B	ENSG00000049618
ENSG00000143862	ARL8A	ARL8B	ENSG00000134108
ENSG00000143437	ARNT	ARNT2	ENSG00000172379
ENSG00000241685	ARPC1A	ARPC1B	ENSG00000130429
ENSG00000162704	ARPC5	ARPC5L	ENSG00000136950
ENSG00000128989	ARPP19	ENSA	ENSG00000143420
ENSG00000153317	ASAP1	ASAP2	ENSG00000151693
ENSG00000239388	ASB14	ASB15	ENSG00000146809
ENSG00000111875	ASF1A	ASF1B	ENSG00000105011
ENSG00000110881	ASIC1	ASIC2	ENSG00000108684
ENSG00000115966	ATF2	ATF7	ENSG00000170653
ENSG00000101844	ATG4A	ATG4B	ENSG00000168397
ENSG00000127249	ATP13A4	ATP13A5	ENSG00000187527
ENSG00000017260	ATP2C1	ATP2C2	ENSG00000064270
ENSG00000167283	ATP5L	ATP5L2	ENSG00000249222
ENSG00000159720	ATP6V0D1	ATP6V0D2	ENSG00000147614
ENSG00000116039	ATP6V1B1	ATP6V1B2	ENSG00000147416
ENSG00000155097	ATP6V1C1	ATP6V1C2	ENSG00000143882
ENSG00000131100	ATP6V1E1	ATP6V1E2	ENSG00000250565
ENSG00000124406	ATP8A1	ATP8A2	ENSG00000132932
ENSG00000081923	ATP8B1	ATP8B4	ENSG00000104043
ENSG00000054793	ATP9A	ATP9B	ENSG00000166377
ENSG00000088812	ATRN	ATRNL1	ENSG00000107518
ENSG00000066427	ATXN3	ATXN3L	ENSG00000123594
ENSG00000135407	AVIL	VIL1	ENSG00000127831
ENSG00000101200	AVP	OXT	ENSG00000101405
ENSG00000117411	B4GALT2	B4GALT1	ENSG00000086062
ENSG00000118276	B4GALT6	B4GALT5	ENSG00000158470
ENSG00000143032	BARHL2	BARHL1	ENSG00000125492
ENSG00000105552	BCAT2	BCAT1	ENSG00000060982
ENSG00000127152	BCL11B	BCL11A	ENSG00000119866
ENSG00000196289	BECN2	BECN1	ENSG00000126581
ENSG00000142959	BEST4	BEST2	ENSG00000039987
ENSG00000133134	BEX2	BEX1	ENSG00000133169
ENSG00000132840	BHMT2	BHMT	ENSG00000145692
ENSG00000185963	BICD2	BICD1	ENSG00000151746
ENSG00000023445	BIRC3	BIRC2	ENSG00000110330
ENSG00000125378	BMP4	BMP2	ENSG00000125845
ENSG00000116985	BMP8B	BMP8A	ENSG00000183682
ENSG00000228075	BOD1L2	BOD1	ENSG00000145919
ENSG00000169925	BRD3	BRD2	ENSG00000204256
ENSG00000174672	BRSK2	BRSK1	ENSG00000160469
ENSG00000165288	BRWD3	PHIP	ENSG00000146247
ENSG00000064726	BTBD1	BTBD2	ENSG00000133243
ENSG00000148925	BTBD10	KCTD20	ENSG00000112078
ENSG00000184887	BTBD6	BTBD3	ENSG00000132640
ENSG00000134717	BTF3L4	BTF3	ENSG00000145741
ENSG00000159388	BTG2	BTG1	ENSG00000133639
ENSG00000124508	BTN2A2	BTN2A1	ENSG00000112763
ENSG00000113303	BTNL8	BTNL3	ENSG00000168903
ENSG00000166167	BTRC	FBXW11	ENSG00000072803
ENSG00000136261	BZW2	BZW1	ENSG00000082153
ENSG00000223658	C1GALT1C1L	C1GALT1C1	ENSG00000171155
ENSG00000205863	C1QTNF9B	C1QTNF9	ENSG00000240654
ENSG00000205502	C2CD4B	C2CD4A	ENSG00000198535
ENSG00000063180	CA11	CA10	ENSG00000154975
ENSG00000102547	CAB39L	CAB39	ENSG00000135932
ENSG00000105507	CABP5	CABP2	ENSG00000167791
ENSG00000100314	CABP7	CALN1	ENSG00000183166
ENSG00000007402	CACNA2D2	CACNA2D1	ENSG00000153956
ENSG00000151062	CACNA2D4	CACNA2D3	ENSG00000157445
ENSG00000105605	CACNG7	CACNG5	ENSG00000075429
ENSG00000081803	CADPS2	CADPS	ENSG00000163618
ENSG00000172137	CALB2	CALB1	ENSG00000104327
ENSG00000064989	CALCRL	CALCR	ENSG00000004948
ENSG00000163888	CAMK2N2	CAMK2N1	ENSG00000162545
ENSG00000144712	CAND2	CAND1	ENSG00000111530
ENSG00000127022	CANX	CLGN	ENSG00000153132
ENSG00000112186	CAP2	CAP1	ENSG00000131236
ENSG00000256812	CAPNS2	CAPNS1	ENSG00000126247
ENSG00000198898	CAPZA2	CAPZA1	ENSG00000116489
ENSG00000153048	CARHSP1	CSDC2	ENSG00000172346
ENSG00000137757	CASP5	CASP4	ENSG00000196954
ENSG00000118729	CASQ2	CASQ1	ENSG00000143318
ENSG00000182533	CAV3	CAV1	ENSG00000105974
ENSG00000159231	CBR3	CBR1	ENSG00000159228
ENSG00000152076	CCDC74B	CCDC74A	ENSG00000163040
ENSG00000221978	CCNL2	CCNL1	ENSG00000163660
ENSG00000163249	CCNYL1	CCNY	ENSG00000108100
ENSG00000132141	CCT6B	CCT6A	ENSG00000146731
ENSG00000177697	CD151	TSPAN11	ENSG00000110900
ENSG00000206531	CD200R1L	CD200R1	ENSG00000163606
ENSG00000090659	CD209	CLEC4M	ENSG00000104938
ENSG00000198752	CDC42BPB	CDC42BPA	ENSG00000143776
ENSG00000039068	CDH1	CDH3	ENSG00000062038
ENSG00000170558	CDH2	CDH4	ENSG00000179242
ENSG00000248333	CDK11B	CDK11A	ENSG00000008128
ENSG00000138395	CDK15	CDK14	ENSG00000058091
ENSG00000155111	CDK19	CDK8	ENSG00000132964
ENSG00000167797	CDK2AP2	CDK2AP1	ENSG00000111328
ENSG00000105810	CDK6	CDK4	ENSG00000135446
ENSG00000147883	CDKN2B	CDKN2A	ENSG00000147889
ENSG00000185267	CDNF	MANF	ENSG00000145050
ENSG00000241322	CDRT1	FBXW10	ENSG00000171931
ENSG00000214819	CDRT15L2	CDRT15	ENSG00000223510
ENSG00000101290	CDS2	CDS1	ENSG00000163624
ENSG00000105352	CEACAM4	CEACAM3	ENSG00000170956
ENSG00000048740	CELF2	CELF1	ENSG00000149187
ENSG00000134255	CEPT1	CHPT1	ENSG00000111666
ENSG00000154227	CERS3	CERS2	ENSG00000143418
ENSG00000172292	CERS6	CERS5	ENSG00000139624
ENSG00000147400	CETN2	CETN1	ENSG00000177143
ENSG00000173575	CHD2	CHD1	ENSG00000153922
ENSG00000064886	CHI3L2	CHI3L1	ENSG00000133048
ENSG00000109220	CHIC2	CHIC1	ENSG00000204116
ENSG00000203668	CHML	CHM	ENSG00000188419
ENSG00000255112	CHMP1B	CHMP1A	ENSG00000131165
ENSG00000166869	CHP2	CHP1	ENSG00000187446
ENSG00000033100	CHPF2	CHPF	ENSG00000123989
ENSG00000166664	CHRFAM7A	CHRNA7	ENSG00000175344
ENSG00000180720	CHRM4	CHRM2	ENSG00000181072
ENSG00000129749	CHRNA10	CHRNA9	ENSG00000174343
ENSG00000169684	CHRNA5	CHRNB3	ENSG00000147432
ENSG00000160716	CHRNB2	CHRNB4	ENSG00000117971
ENSG00000198108	CHSY3	CHSY1	ENSG00000131873
ENSG00000213341	CHUK	IKBKB	ENSG00000104365
ENSG00000141977	CIB3	CIB2	ENSG00000136425
ENSG00000123975	CKS2	CKS1B	ENSG00000173207
ENSG00000163539	CLASP2	CLASP1	ENSG00000074054
ENSG00000016602	CLCA4	CLCA1	ENSG00000016490
ENSG00000184908	CLCNKB	CLCNKA	ENSG00000186510
ENSG00000156284	CLDN8	CLDN17	ENSG00000156282
ENSG00000198178	CLEC4C	CLEC6A	ENSG00000205846
ENSG00000175416	CLTB	CLTA	ENSG00000122705
ENSG00000070371	CLTCL1	CLTC	ENSG00000141367
ENSG00000146352	CLVS2	CLVS1	ENSG00000177182
ENSG00000169714	CNBP	ZCCHC13	ENSG00000187969
ENSG00000158158	CNNM4	CNNM2	ENSG00000148842
ENSG00000138767	CNOT6L	CNOT6	ENSG00000113300
ENSG00000155508	CNOT8	CNOT7	ENSG00000198791
ENSG00000197565	COL4A6	COL4A2	ENSG00000134871
ENSG00000158623	COPG2	COPG1	ENSG00000181789
ENSG00000005243	COPZ2	COPZ1	ENSG00000111481
ENSG00000115520	COQ10B	COQ10A	ENSG00000135469
ENSG00000103647	CORO2B	CORO2A	ENSG00000106789
ENSG00000156885	COX6A2	COX6A1	ENSG00000111775
ENSG00000170516	COX7B2	COX7B	ENSG00000131174
ENSG00000113742	CPEB4	CPEB3	ENSG00000107864
